"filename", "language", "JSON", "JavaScript", "SQL", "CSS", "Elixir", "HEEx", "HTML", "Markdown", "XML", "Graphviz (DOT)", "comment", "blank", "total"
"/Users/nevendrean/code/elixir/live_map/mix.lock", "Elixir", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 1, 64
"/Users/nevendrean/code/elixir/live_map/priv/repo/migrations/.formatter.exs", "Elixir", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919184546_postgis_enum.exs", "Elixir", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919190000_create_users.exs", "Elixir", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"/Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919195327_create_events.exs", "Elixir", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 6, 27
"/Users/nevendrean/code/elixir/live_map/priv/repo/migrations/20220919215903_event_participants.exs", "Elixir", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"/Users/nevendrean/code/elixir/live_map/priv/repo/seeds.exs", "Elixir", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 18, 22, 162
"/Users/nevendrean/code/elixir/live_map/priv/static/images/kitesurf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 1, 1, 64
"/Users/nevendrean/code/elixir/live_map/read.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nevendrean/code/elixir/live_map/test.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"/Users/nevendrean/code/elixir/live_map/test/date_picker/date_picker_test.exs", "Elixir", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/nevendrean/code/elixir/live_map/test/live_map/downwind_test.exs", "Elixir", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 16, 77
