Date : 2022-10-10 13:41:09
Directory : /Users/nevendrean/code/elixir/live_map
Total : 99 files,  3898 codes, 698 comments, 706 blanks, all 5302 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/github_auth_controller.ex     | Elixir         |         23 |          0 |          5 |         28 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/google_auth_controller.ex     | Elixir         |         21 |          0 |          5 |         26 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/mail_controller.ex            | Elixir         |         96 |          5 |         11 |        112 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/page_controller.ex            | Elixir         |         12 |          0 |          3 |         15 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/controllers/welcome_controller.ex         | Elixir         |          9 |          0 |          3 |         12 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/endpoint.ex                               | Elixir         |         36 |         10 |         10 |         56 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/gettext.ex                                | Elixir         |         15 |          3 |          7 |         25 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/forms/new_event.ex                   | Elixir         |         65 |          2 |         12 |         79 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/forms/query_picker.ex                | Elixir         |        124 |         15 |         26 |        165 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/map_comp.ex                          | Elixir         |         74 |          5 |         15 |         94 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/map_live.ex                          | Elixir         |         90 |         14 |         20 |        124 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/participants.ex                      | Elixir         |          8 |          0 |          2 |         10 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/tables/new_event_table.ex            | Elixir         |         79 |          0 |          9 |         88 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/live/tables/selected_events.ex            | Elixir         |        159 |         15 |         19 |        193 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/router.ex                                 | Elixir         |         36 |         16 |         13 |         65 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/telemetry.ex                              | Elixir         |         54 |         10 |          8 |         72 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/email/confirmation.html.heex    | HEEx           |         10 |          0 |          0 |         10 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/email/demande.html.heex         | HEEx           |         11 |          0 |          0 |         11 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/app.html.heex            | HEEx           |          4 |          0 |          3 |          7 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/live.html.heex           | HEEx           |         15 |          0 |          4 |         19 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/layout/root.html.heex           | HEEx           |         25 |          1 |          3 |         29 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/index.html.heex            | HEEx           |         47 |          0 |          6 |         53 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/request.html.heex          | HEEx           |         31 |          0 |         13 |         44 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/page/welcome.html.heex          | HEEx           |         10 |          0 |          0 |         10 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/templates/welcome/welcome.html.heex       | HEEx           |          5 |          0 |          0 |          5 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/datalist_input.ex                   | Elixir         |          9 |          0 |          3 |         12 |
| /Users/nevendrean/code/elixir/live_map/lib/live_map_web/views/demande_participate_view.ex         | Elixir         |          3 |          1 |          1 |          5 |
